"case_id","period","infrastructure","knowledge","finance","talent","entrepreneurship"
"case_01",1,58.3,31.5,65,44.1,41.4
"case_01",2,69.8,42.9,53.4,52.2,46.6
"case_01",3,68,69.2,40.5,53.9,73.5
"case_02",1,73.3,55.8,67.4,50.9,66.2
"case_02",2,56.1,33.8,79.4,76.6,82.8
"case_02",3,65.6,16,75.1,69,82.1
"case_03",1,51.1,23.9,74.8,28.2,19.1
"case_03",2,41.9,19.1,65.7,30.6,23.4
"case_03",3,41,16.5,72,20.5,11
"case_04",1,49.5,48.4,74.7,32.4,57.5
"case_04",2,35.3,64.2,80.7,56.2,57.3
"case_04",3,44.6,45.1,77.6,42.6,46
"case_05",1,79.9,32.9,42.6,62.9,43.7
"case_05",2,88.6,49.8,30.8,51.7,57.4
"case_05",3,65,29.3,34.6,70.5,24.3
"case_06",1,79.4,43.6,84.8,18.9,43.5
"case_06",2,80.9,52.3,82.4,39.7,57.4
"case_06",3,83.1,32.1,87.2,36,32.8
"case_07",1,69.5,37.2,48.2,57.8,39.6
"case_07",2,80.3,47.9,64,62,67
"case_07",3,57.1,22.5,29.4,69,28.1
"case_08",1,38.4,33.7,65,53.8,48.9
"case_08",2,39.7,21.2,73.2,61.9,70.2
"case_08",3,35.7,26.9,51.8,61,49.7
"case_09",1,17.8,40.4,27.5,71.6,33.4
"case_09",2,13.4,48.8,30.9,65.1,23
"case_09",3,30.5,49.7,37,52.6,24.5
"case_10",1,22.6,64.4,40.1,25.5,36.9
"case_10",2,33.8,69.9,39.6,19.6,36.5
"case_10",3,24.3,58.6,55.3,39.3,28.6
"case_11",1,27.8,34.1,88.6,72.5,88.1
"case_11",2,21.7,29.8,80.9,92.1,91.9
"case_11",3,19.3,33.9,83,84.5,87
"case_12",1,63.4,45.9,65.8,35,53.1
"case_12",2,77,49.1,70.9,49,51.7
"case_12",3,60.1,61.6,59.3,36.4,61
"case_13",1,48.4,45,72.7,56.1,53.1
"case_13",2,76,30.7,79.4,26.2,24.2
"case_13",3,74.1,27.9,75.2,48.7,44.5
"case_14",1,34.1,56.3,57.8,62,46.8
"case_14",2,69,44.3,47.4,68.9,41.7
"case_14",3,43.8,39.3,29.3,62.3,36.6
"case_15",1,4.1,87.4,38.9,62,31.1
"case_15",2,3.8,89.8,47,41,26.1
"case_15",3,4,90.6,83.1,62.1,68.3
"case_16",1,42.8,35.9,14.6,57.8,43.4
"case_16",2,62,43.2,16.9,29.7,36.1
"case_16",3,54,34.9,17.4,37,37.9
"case_17",1,19.8,45.8,65,38.3,36.6
"case_17",2,28.4,11.7,46.5,44.7,43.9
"case_17",3,18.4,23.2,41.8,38.1,27.7
"case_18",1,71.1,67.7,48.2,56,69.2
"case_18",2,69.9,54.4,50.3,36.4,61.1
"case_18",3,41.7,65,38.5,34,49.8
"case_19",1,17.7,68.7,85.2,92.9,96.7
"case_19",2,24.9,46.8,61.7,89.5,72.5
"case_19",3,15.6,49.7,52.3,85.5,50.3
"case_20",1,10.7,44.2,30.1,25.4,12.2
"case_20",2,10.7,52.4,11.6,31.9,6.7
"case_20",3,16.2,47.4,21.2,26.4,20.1
"case_21",1,64.3,56,45,41.7,58.7
"case_21",2,71.2,69.1,37.3,64,74.5
"case_21",3,69.5,57.4,59,44.7,67.9
"case_22",1,65.1,7.7,36.4,22,9.5
"case_22",2,63.7,27.7,54.1,52.5,48.6
"case_22",3,35.1,25.6,26.4,54.7,28.1
"case_23",1,62.7,38.2,75.9,61.7,68.6
"case_23",2,62.5,36.3,40,64.5,33.5
"case_23",3,73.7,25.6,63,43,37
"case_24",1,57.6,90.3,36.4,64.2,62.5
"case_24",2,68.6,81,25.9,58.1,81.6
"case_24",3,49.6,91.8,18.7,57.9,57.5
"case_25",1,70.4,71.6,8.4,85.4,86
"case_25",2,61.2,69.7,7.4,88.7,65.2
"case_25",3,45.7,70.6,9.8,69.4,51.5
"case_26",1,20.2,69.8,78.4,59.2,63.5
"case_26",2,16.3,66.7,52.3,61.1,42.6
"case_26",3,26.4,71.9,69.5,72.6,78.8
"case_27",1,40.8,83.5,27.5,31.4,43.2
"case_27",2,34.7,88.2,53.2,13.3,41.4
"case_27",3,33.2,91.2,34.6,22,42.6
"case_28",1,76.7,60.9,74.8,67.4,87.8
"case_28",2,59.1,51,74.2,66.4,73.8
"case_28",3,66.2,49.3,59.6,69.1,59.8
"case_29",1,8.8,70.2,40.7,44.3,31.5
"case_29",2,5.3,71.3,57.7,46.3,46
"case_29",3,23.2,69.9,70.4,46,43.3
"case_30",1,53.2,69.4,78.4,70.6,87.4
"case_30",2,44.3,74.8,81.1,72.4,87.6
"case_30",3,57.4,65.4,60.6,81.8,52.1
